sales_rep_key,rep_name,hire_date
159,Swantje Flantz,2025-05-02
160,Amir Jessel,2025-04-21
161,Frau Ruth Knappe,2023-01-14
162,Hans-Günter Beyer,2020-05-12
163,Margot Christoph,2022-03-19
164,Utz Heser,2021-12-18
165,Raik Holzapfel,2019-03-05
166,Tilman Pruschke,2022-01-01
167,Georgine Eberth MBA.,2024-10-17
168,Univ.Prof. Johannes Hermighausen,2019-12-18
169,Dr. Milan Gröttner B.Eng.,2020-07-13
170,Stephan Gertz,2022-08-01
171,Ansgar Hande,2023-08-20
172,Frau Alla Faust B.A.,2022-01-04
173,Kerstin Etzold,2024-10-07
174,Heinz-Jürgen Gertz,2019-10-03
175,Pawel Ziegert,2021-11-30
176,Timm Pechel,2021-02-15
177,Denis Patberg MBA.,2025-09-04
178,Apollonia Kramer,2024-12-27
179,Ing. Siegfried Holt B.A.,2018-12-19
180,Lidija Dowerg,2024-08-20
181,Sieghard Jäntsch-Kensy,2023-11-21
182,Monika Hörle MBA.,2023-06-25
183,Dr. Erhard Blümel B.Eng.,2023-03-06
184,Tomislav Beyer B.Eng.,2024-09-12
185,James Drubin,2022-07-19
186,Edeltraut Karz,2021-01-18
187,Dr. Lisa Flantz,2018-03-12
188,Patric Weiß,2021-01-19
189,Lore Bolnbach,2022-12-09
190,Paulina Henck,2025-11-20
191,Ernst Hamann B.Sc.,2021-09-17
192,Nicolai Radisch MBA.,2019-07-30
193,Gerlind Kusch,2024-02-04
194,Sophia Sontag,2024-05-15
195,Dr. Adelbert Schweitzer,2018-08-23
196,Cordula Ring,2022-06-02
197,Univ.Prof. Marietta Rust B.A.,2023-10-27
198,Anne-Kathrin Hahn,2021-10-07
199,Heidelinde Junk,2025-01-12
200,Mirko Koch II B.Sc.,2018-10-11
201,Magnus Geisel,2020-03-16
202,Andrea Vollbrecht,2018-07-11
203,Ing. Albert Adolph MBA.,2021-10-17
204,Rolf Striebitz,2024-09-27
205,Berend Wähner,2023-05-20
206,Herr Slobodan Mans B.A.,2018-06-02
207,Dr. Christine Dehmel,2020-08-21
208,Univ.Prof. Rainer Hendriks MBA.,2021-02-10
209,Damaris Dobes,2025-01-27
210,Birte Ritter,2022-02-13
211,Univ.Prof. Dan Hermighausen,2021-03-04
212,Alexej Eimer,2026-02-27
213,Istvan Trommler B.Eng.,2020-09-01
214,José Heidrich,2025-01-07
215,Dittmar Fiebig,2020-11-30
216,Agathe Steckel,2022-08-26
217,Ing. Mareike Neuschäfer B.Eng.,2022-05-30
218,Ing. Artur Schottin B.Sc.,2025-02-14
219,Dipl.-Ing. Gerold Girschner,2023-10-29
220,Lidwina Etzold,2019-01-19
221,Anneke Kraushaar,2025-02-20
222,Stilla Hörle,2023-12-10
223,Dipl.-Ing. Mario Scholtz,2022-02-04
224,Linus Steckel B.A.,2021-06-30
225,Samira Butte,2018-03-19
226,Natali Seip,2024-11-07
227,Roselinde Klapp,2021-11-21
228,Paul Warmer B.A.,2025-02-07
229,Ing. Ludger Heydrich B.Sc.,2018-04-04
230,Murat Krebs-Plath,2021-01-22
231,Doreen Henck,2021-12-06
232,Bertram Hesse B.Sc.,2023-07-20
233,Enver Bärer,2019-04-24
234,Rigo Striebitz,2018-07-28
235,Prof. Baptist Bohnbach B.Sc.,2024-07-14
236,Ismail Kaul,2023-04-23
237,Kathy Zorbach MBA.,2021-02-26
238,Dr. Elisa Patberg,2019-07-07
239,Edelgard Bonbach,2020-08-11
240,Ursula Heß,2020-11-01
241,Ing. Sylvana Klapp B.Sc.,2025-08-13
242,Timo Hein-Röhrdanz,2024-07-04
243,Vincent Kreusel,2019-05-01
244,Margarethe Caspar B.Eng.,2018-10-23
245,Isidor Hecker,2023-08-22
246,Uli Neureuther-Eberhardt,2024-06-30
247,Ing. Günther Hornig B.A.,2020-08-17
248,Prof. Rosita Liebelt,2022-06-09
249,Cilli Birnbaum B.A.,2019-11-20
250,Dr. Jonas Hauffer,2025-10-28
251,Ilija Bolander-Jockel,2024-04-12
252,Dr. Ignatz Täsche B.Eng.,2023-01-16
253,Gisa Karz-Rogner,2018-05-24
254,Ing. Hans-Dietrich Römer,2020-10-03
255,Dr. Oswald Vogt,2025-07-31
256,Janusz Dippel,2020-02-24
257,Mirella Reising,2022-03-15
258,Nathalie Stoll,2024-01-02
259,Edeltraut Sorgatz,2024-06-18
260,Dipl.-Ing. Enno Neuschäfer,2022-04-18
261,Thea Sager,2023-04-03
262,Margitta Holt,2018-07-15
263,Jovan Segebahn,2022-02-22
264,Oswin Gutknecht,2024-05-19
265,Geert Werner-Bender,2024-10-12
266,Oswin Hölzenbecher,2021-06-02
267,Erhardt Hande,2025-12-03
268,Cora Ullrich B.A.,2020-12-22
269,Ing. Gordon Kensy,2021-12-10
270,Corina Hoffmann-Schuchhardt,2024-03-16
271,Belinda Seifert,2022-07-24
272,Marianna Dörschner B.Sc.,2020-12-29
273,Käte Ernst,2024-02-22
274,Lorenz Lorch MBA.,2019-04-27
275,Meike Döhn,2021-01-19
276,Konrad Ackermann,2023-04-12
277,Dipl.-Ing. Fredi Junck,2022-04-08
278,Gunhild Langern,2023-06-06
279,Hans-Gerd Bähr-Neuschäfer,2020-12-16
280,Enver Mülichen B.A.,2021-08-08
281,Hans-Günter Wende B.A.,2021-06-28
282,Herr Gabor Kreusel,2022-02-17
283,Frau Margaret Bohlander B.Eng.,2020-02-13
284,Filippo Geißler,2022-05-30
285,Dolores Fischer-Henck,2024-05-03
286,Dipl.-Ing. Hans Jürgen Stroh,2018-09-12
287,Ing. Ivonne Hettner B.Eng.,2020-09-22
288,Hedy Noack-Heidrich,2022-12-28
289,Benno Kuhl-Bachmann,2020-10-09
290,Angelika Geisel,2022-04-30
291,Rosa Holt B.Sc.,2025-06-16
292,Frank Schmidtke MBA.,2023-02-09
293,Hans-Christian Hartmann B.Eng.,2020-05-27
294,Herr Pawel Junk,2025-02-08
295,Dr. Sara Lehmann,2020-06-30
296,Witold Putz,2021-10-20
297,Dipl.-Ing. Patrick Müller,2022-06-23
298,Heinz-Georg Bolzmann B.Sc.,2018-08-29
299,Dora Gotthard B.A.,2021-06-19
300,Margaret Winkler MBA.,2019-02-17
301,Rose-Marie Börner,2026-01-25
302,Dipl.-Ing. Nadin Gieß B.Sc.,2020-07-21
303,Dorota Hauffer,2024-04-23
304,Monja Zimmer MBA.,2025-12-16
305,Lilo Ditschlerin MBA.,2022-11-16
306,Carina Zorbach-Heydrich,2019-04-09
307,Univ.Prof. Thekla Binner,2020-02-15
308,Herr Ali Mohaupt B.A.,2024-03-11
309,Marcus Winkler B.Sc.,2019-10-30
310,Dr. Marianna Schottin B.Eng.,2021-12-16
311,Prof. Dittmar Bruder B.Sc.,2025-01-28
312,Kreszentia Weller B.Sc.,2022-03-13
313,Hans-Joachim Seifert-Ruppersberger,2024-02-06
314,Doreen Jüttner B.Sc.,2022-05-17
315,Sieglinde Striebitz,2025-08-05
316,Diana Jacob B.Eng.,2024-07-16
317,Prof. Gertrud Adler,2024-05-30
318,Ingrid Schmiedt,2018-06-18
319,Nuray Stadelmann B.A.,2023-07-30
320,Peggy Siering-Dippel,2022-11-06
321,Dr. Theres Wagenknecht,2021-04-09
322,Jörgen Martin,2023-10-14
323,Kasimir Kreusel-Reuter,2022-10-03
324,Dörthe Seifert-Loos,2026-02-02
325,Dipl.-Ing. Sabrina Loos B.A.,2024-01-10
326,Dunja Köhler-Eckbauer,2023-02-26
327,Agata Bähr-Zobel,2021-12-19
328,Gudrun Atzler,2024-07-31
329,Beatrix Tröst,2020-03-22
330,Prof. Kemal Birnbaum B.Sc.,2019-09-25
331,Traute Fischer,2018-09-12
332,Abram Segebahn-Möchlichen,2024-07-07
333,Dipl.-Ing. Silja Segebahn MBA.,2022-12-11
334,Ing. Harry Trapp,2019-02-27
335,Ing. Andrea Geißler,2018-09-19
336,Carsten Rörricht,2022-08-02
337,Dr. Milan Jacobi Jäckel,2018-05-18
338,Ildiko Carsten-Textor,2020-07-09
339,Hugo Thanel,2021-06-22
340,Dipl.-Ing. Henni Gnatz,2024-10-14
341,Yvonne Oestrovsky,2024-12-16
342,Theodora Harloff,2024-09-05
343,Eckard Wende B.A.,2022-07-10
344,Alida Scholtz,2019-10-01
345,Domenico Wohlgemut,2022-10-16
346,Henryk Lachmann,2021-04-30
347,Ingetraut Martin,2024-04-18
348,Charlotte Martin,2025-12-20
349,Laila Röhrdanz,2019-11-05
350,Milan Stoll,2025-10-21
351,Alina Ullmann B.Eng.,2023-08-10
352,Andreas Weller-Scholl,2020-07-26
353,Siegrun Kraushaar,2019-03-27
354,Klaus-Peter Lehmann-Mies,2023-09-02
355,Telse Mude,2023-11-25
356,Niko Lorch,2019-01-20
357,Ioannis Heinrich,2021-06-11
358,Ottfried Bien,2025-03-15
359,Valentin Meister,2018-05-25
360,Dipl.-Ing. Hannchen Staude B.Sc.,2022-09-20
361,Herr Aleksandr Seifert,2018-08-03
362,Ing. Paula Ehlert,2025-07-09
363,Dr. Falko Karz,2019-11-27
364,Alexandre Schleich-Jockel,2020-09-21
365,Yvette Kallert,2018-12-24
366,Conny Schulz-Schomber,2023-05-28
367,Denny Klingelhöfer,2019-01-14
368,Kevin Herrmann,2020-03-25
369,Karsten Zimmer MBA.,2019-01-06
370,Catharina Jüttner,2020-10-31
371,Helge Wulf,2023-09-21
372,Univ.Prof. Lotte Römer,2021-04-13
373,Siegrun Schleich,2019-12-06
374,Sebastiano Scheuermann,2025-09-07
375,Dipl.-Ing. Claus-Peter Pergande,2023-05-28
376,Ing. Marija Noack B.A.,2025-08-02
377,Nurettin Dippel B.Eng.,2018-08-23
378,Hansjörg Ditschlerin,2023-09-15
379,Prof. James Kobelt,2020-07-24
380,Inna Benthin,2025-09-11
381,Harry Scheuermann,2022-12-18
382,Karl-Dieter Rosemann,2022-10-08
383,Frau Anna-Maria Heser B.Eng.,2019-03-13
384,Frau Margitta Döhn B.A.,2022-10-17
385,Hildegund Reuter,2023-06-11
386,Thaddäus Krause,2025-10-25
387,Julie Johann B.Sc.,2023-11-06
388,Christos Seifert,2019-09-07
389,Prof. Raphaela Bender B.Eng.,2024-08-01
390,Ing. Annelie Tschentscher B.Eng.,2019-09-12
391,Wendelin Girschner,2019-11-13
392,Manuela Bloch B.A.,2026-01-31
393,Myriam Wesack MBA.,2022-09-18
394,Sven Becker,2019-10-17
395,Fernando Stahr,2020-03-10
396,Dariusz Söding MBA.,2025-10-18
397,Magrit Jacobi Jäckel,2023-12-30
398,Sami Hettner,2019-02-25
399,Rudolph Faust B.Sc.,2024-04-16
400,Gretel Ritter-Kohl,2018-06-09
401,Walter Hauffer B.Eng.,2019-07-24
402,Leopold Hein,2022-08-30
403,Herr Anton Hölzenbecher,2020-07-21
404,Heidelore Mosemann,2021-09-02
405,Dr. Christa-Maria Tintzmann B.Eng.,2020-09-07
406,Babette Kade,2018-11-05
407,Herbert Grein Groth,2025-03-24
408,Ing. Enrico Fischer,2025-01-30
409,Leila Fliegner B.Eng.,2019-02-04
410,Beatrix Misicher-Höfig,2026-01-06
411,Maike Trub,2018-07-22
412,Alois Wilmsen,2019-10-20
413,Karina Hiller-Ebert,2020-10-28
414,Ioannis Häring-Hiller,2025-01-04
415,Ing. Elma Drub B.A.,2018-08-12
416,Dipl.-Ing. Dusan Trupp,2026-01-29
417,Roman Zobel,2023-11-05
418,Ullrich Rohleder,2024-10-31
419,Carsten Schmiedecke-Pärtzelt,2025-09-28
420,Claudius Bruder-Wieloch,2019-10-14
421,Almuth Herrmann B.Eng.,2019-12-18
422,Ekrem Seifert,2024-06-20
423,Frau Jennifer Gehringer,2026-02-24
424,Alfons Langern B.A.,2023-02-14
425,Recep Höfig B.Eng.,2022-03-13
426,Sabine Drub,2019-02-26
427,Juergen Wagenknecht-Käster,2023-01-31
428,Jessika Scholz-Tschentscher,2020-10-31
429,Thea Benthin-Seidel,2020-02-07
430,Prof. Hildegunde Gunpf B.Eng.,2025-09-21
431,Rosi Lindner B.Eng.,2022-06-12
432,Cemal Radisch,2023-12-01
433,Prof. Sevim Keudel,2024-11-20
434,Herr Bernfried Beier,2025-08-09
435,Diana Budig,2023-09-27
436,Gunar Kranz,2021-05-07
437,Univ.Prof. Kornelia Stolze B.Eng.,2024-08-21
438,Ehrenfried Heuser,2023-01-27
439,Leander Finke-Schüler,2018-10-01
440,Adam Hiller,2022-06-16
441,Karl-August Schuchhardt B.Eng.,2019-07-08
442,Inka Scholl,2023-03-07
443,Evangelia Klapp,2021-05-15
444,Friedlinde Heß,2018-07-06
445,Lioba Pieper,2022-06-29
446,Hans-Jürgen Ruppersberger,2025-01-04
447,Prof. Rene Rogge MBA.,2018-07-27
448,Luisa Schwital,2022-04-15
449,Oxana Holt,2024-10-29
450,Ana Fiebig-Zirme,2024-12-03
451,Kaspar Schuster,2021-04-09
452,Angelique Kaul,2021-02-03
453,Bernfried Rosemann-Putz,2023-08-09
454,Domenico Ackermann,2022-10-04
455,Dipl.-Ing. Jessica Gude B.Sc.,2024-07-11
456,Grzegorz Hein,2022-06-07
457,Dr. Edelbert Kraushaar MBA.,2018-04-30
458,Britta Rose,2021-10-03
459,Hans Heintze-Reuter,2022-02-10
460,Waldemar Textor-Meister,2020-08-17
461,Ricardo Hauffer,2022-11-14
462,Dr. Christoph Tintzmann B.Eng.,2019-04-26
463,Patricia Seidel,2022-04-30
464,Gerfried Werner,2024-05-29
465,Dipl.-Ing. Freddy Gierschner,2018-10-19
466,Micha Dowerg-Cichorius,2019-04-07
467,Felicia Siering,2024-02-14
468,Agnieszka Fiebig,2020-05-04
469,Univ.Prof. Anneke Bähr,2023-08-02
470,Hans-Ludwig Reinhardt,2023-08-06
471,Ivan Dobes,2018-12-01
472,Dipl.-Ing. Marina Salz MBA.,2020-02-21
473,Verena Dehmel,2020-01-08
474,Änne Matthäi-Grein Groth,2023-10-23
475,Herr German Benthin,2025-02-01
476,Univ.Prof. Richard Huhn,2020-02-11
477,Undine Bärer,2018-03-29
478,Helge Röhricht,2018-12-27
479,Univ.Prof. Manja Haering,2020-11-27
480,Dagmar Kuhl,2025-05-13
481,Gretel Beckmann,2018-09-21
482,Fedor Henck,2018-11-05
483,Prof. Heinz-Joachim Reising,2018-10-31
484,Dipl.-Ing. Imke Kaul,2025-02-20
485,Sylwia Schmidt-Otto,2021-03-26
486,Hans-J. Hendriks B.A.,2024-05-03
487,Alfons Roskoth-Holzapfel,2024-04-10
488,Hansjürgen Patberg,2022-05-08
489,Augustin Säuberlich B.Sc.,2024-11-17
490,Frau Anne-Marie Wernecke B.Eng.,2023-09-02
491,Frau Rahel Schottin B.A.,2021-03-18
492,Prof. Carlos Hethur MBA.,2021-12-23
493,Herr Gerhard Stumpf MBA.,2021-11-10
494,Patrizia Baum,2020-05-29
495,Dr. Christopher Wohlgemut,2022-03-26
496,Ludwig Langern MBA.,2020-04-14
497,Zdenka Trupp,2024-12-23
498,Dr. Virginia Fischer B.A.,2023-07-16
499,Songül Schäfer,2022-02-07
500,Prof. Darko Seip,2023-11-15
