employee_key,employee_name,gender,hire_date
125,Aysel Mühle,F,2019-05-12
126,Jan-Peter Heydrich,M,2022-06-07
127,Albert Zorbach,F,2022-07-22
128,Thaddäus Conradi,F,2016-10-15
129,Serge Striebitz,M,2018-06-11
130,Frederic Rogge,M,2022-07-19
131,Traudl Anders,F,2022-01-20
132,Univ.Prof. Kaspar Fritsch B.Sc.,M,2016-12-18
133,Klaus Dieter Fischer,F,2019-09-20
134,Dr. Else Hövel B.A.,M,2020-10-29
135,Ing. Friedlinde Kostolzin,F,2022-08-13
136,Hilma Rörricht,M,2016-12-02
137,Hans-Günter Stroh,F,2021-11-25
138,Edward Kruschwitz B.Eng.,M,2022-07-08
139,Francesca Neuschäfer B.Sc.,F,2022-05-18
140,Fritz Pieper,F,2025-06-21
141,Ladislaus Gorlitz,F,2020-10-11
142,Stjepan Pergande,M,2023-02-20
143,Prof. Till Eigenwillig MBA.,M,2024-01-19
144,Karlfried Möchlichen,M,2019-08-23
145,Kira Boucsein-Ernst,F,2021-07-06
146,Univ.Prof. Lucia Salz,F,2019-12-08
147,Univ.Prof. Ortwin Mielcarek,M,2017-05-07
148,Miguel Paffrath,F,2024-11-09
149,Univ.Prof. Raisa Kohl,F,2024-04-13
150,Ursula Renner,F,2019-09-19
151,Sibel Schenk,F,2023-07-02
152,Linda Mitschke,F,2020-08-31
153,Dr. Marta Stadelmann B.Sc.,M,2021-01-26
154,Frieda Beer MBA.,M,2016-07-23
155,Matthias Wagenknecht B.A.,F,2021-05-30
156,Dr. Karl-Wilhelm Henck B.Eng.,F,2023-12-20
157,Marlis Davids,M,2020-11-03
158,Dipl.-Ing. Jacob Rörricht,F,2025-06-06
159,Ingrid Birnbaum,F,2021-03-02
160,Ellinor Kusch,F,2020-08-19
161,Carolin Butte,F,2016-03-13
162,Cengiz Börner B.A.,F,2025-11-23
163,Juliane Mangold,F,2018-05-06
164,Univ.Prof. Jaroslav Pruschke,M,2022-12-20
165,Univ.Prof. Reimund Stey,F,2025-01-14
166,Gerda Wulf,F,2025-08-03
167,Dipl.-Ing. Ludmila Wernecke B.A.,M,2023-09-07
168,Jacob Stolze B.Sc.,M,2016-09-19
169,Sepp Täsche,M,2020-07-20
170,Hartwig Eckbauer,F,2022-11-21
171,Hajo Weihmann,M,2018-01-19
172,Evelyne Scholz,M,2018-12-26
173,Ing. Sylvia Metz B.Sc.,F,2016-12-14
174,Katy Weimer,M,2022-07-19
175,Bertram Tlustek,F,2020-02-19
176,Ing. Leo Rädel,M,2020-07-25
177,Editha Hertrampf-Gutknecht,F,2022-06-24
178,Zdravko Schmiedt,M,2020-05-22
179,Dr. Magda Textor,F,2018-09-03
180,Wiebke Meyer-Gieß,F,2023-12-17
181,Catrin Römer-Stadelmann,M,2018-10-29
182,Tilman Trüb,F,2021-02-02
183,Hans-Gerhard Kruschwitz,F,2018-08-19
184,Anto Stey,F,2020-05-27
185,Jens-Peter Mohaupt,F,2024-10-27
186,Adalbert Heuser,F,2017-05-09
187,Univ.Prof. Tilman Bien,F,2024-01-10
188,Uli Plath,F,2020-12-05
189,Conrad Gerlach,F,2024-10-30
190,Karl-Georg Säuberlich,M,2016-12-14
191,Gert Beer,M,2022-08-23
192,Hanne-Lore Dörr,F,2018-01-27
193,Hüseyin Hellwig,M,2024-11-05
194,Univ.Prof. Elizabeth Cichorius B.Eng.,M,2019-02-13
195,Grete Jacob,F,2020-03-29
196,Dr. Stefano Haering,M,2019-06-11
197,Grete Schaaf,F,2025-07-02
198,Natascha Scholl,F,2016-11-30
199,Dipl.-Ing. Cornelia Barth,F,2017-01-14
200,Dagmar Heintze-Peukert,F,2023-01-25
201,Josefine Kuhl,M,2020-04-14
202,Hellmuth Hornig,F,2019-06-30
203,Cindy Junck,F,2018-10-14
204,Anton Rosenow,M,2024-08-21
205,Dörte Kruschwitz,M,2017-01-16
206,Ronald Kreusel,M,2018-10-06
207,Univ.Prof. Polina Stiebitz,F,2022-09-05
208,Salvatore Hänel,F,2020-12-18
209,Renata Karz,F,2018-10-24
210,Klaudia Löwer,M,2017-08-30
211,Miroslaw Jopich,F,2018-11-30
212,Kaspar Bachmann,M,2018-04-30
213,Wolfhard Killer B.Sc.,M,2022-11-07
214,Anastasia Kostolzin,M,2024-07-01
215,Kuno Trub-Hertrampf,M,2025-07-19
216,Grete Dippel-Zahn,F,2022-07-15
217,Valentin Meyer-Caspar,F,2025-03-17
218,Ludmila Sölzer,F,2016-08-28
219,Dipl.-Ing. Ramazan Wulff,F,2021-12-29
220,Prof. Franjo Wernecke MBA.,M,2018-12-20
221,Kenneth Freudenberger,F,2023-04-12
222,Angelique auch Schlauchin,F,2022-08-21
223,Sina Hahn-Henck,M,2017-02-12
224,Maurice Henk-Krein,M,2021-10-31
225,Dr. Sören Rohleder MBA.,M,2017-06-09
226,Bertold Täsche,F,2019-10-12
227,Univ.Prof. Gabriel Ruppersberger,M,2024-10-17
228,Jens-Peter Wilmsen-Weimer,F,2023-08-07
229,Abdullah Bauer MBA.,F,2025-04-07
230,Prof. Birger Peukert B.A.,M,2017-11-24
231,Ing. Hans-Christian Drub,M,2025-04-12
232,Istvan Mende,F,2020-04-23
233,Frau Jasmina Scholl,F,2020-03-01
234,Hubertus Faust,F,2024-04-06
235,Ernest Heidrich-Tlustek,M,2022-04-18
236,Falko Wagenknecht,M,2019-06-06
237,Athanasios Köster B.A.,M,2018-04-06
238,Univ.Prof. Pietro Ring,F,2019-09-09
239,Oscar Jockel-Klapp,F,2024-09-30
240,Raymund Heydrich,M,2023-02-23
241,Kenan Herrmann,M,2023-05-09
242,Marianne Oestrovsky B.Sc.,M,2017-03-15
243,Prof. Centa Reichmann,M,2023-09-23
244,Herr Juergen Siering,M,2022-10-29
245,Hannelore Rogge,M,2017-06-14
246,Hans-Werner Gude,M,2017-10-11
247,Frau Diana Preiß MBA.,F,2019-12-02
248,Mareen Textor,F,2024-09-12
249,Susann Heinrich B.A.,F,2025-10-09
250,Dr. Torsten Etzold,F,2025-11-15
251,Caterina Löwer,M,2025-09-29
252,Hans-Peter Peukert B.Sc.,F,2018-03-02
253,Aynur Hornig,M,2017-10-02
254,Volker Pölitz-Wulff,M,2019-08-04
255,Ivonne Kensy,M,2021-01-06
256,Ella Mohaupt,F,2022-04-11
257,Heinz-Willi Löffler,F,2018-12-30
258,Elzbieta Buchholz,M,2019-04-16
259,Liesa Jacob B.Sc.,F,2016-03-14
260,Clarissa Wende,M,2020-01-13
261,Prof. Fabian Schüler,F,2019-08-31
262,Selma Heuser,F,2017-06-13
263,Ing. Ottmar Köster B.Sc.,M,2022-10-17
264,Friedericke Adolph,M,2021-12-07
265,Janet Junck B.Eng.,M,2023-09-13
266,Peer Jungfer,M,2021-02-08
267,Ulrich Lorch,M,2022-11-08
268,Regine Trüb,M,2020-05-26
269,Dr. Constance Bauer,F,2016-03-03
270,Ingeborg Ebert B.Eng.,F,2019-03-05
271,Klothilde Mülichen,M,2022-04-17
272,Lidija Ehlert,M,2017-10-25
273,Christiane Pohl,F,2020-06-18
274,Herr Gottfried Weitzel MBA.,M,2024-11-17
275,Stefano Römer,F,2021-08-29
276,Herr Othmar Mühle,M,2024-09-19
277,Konstantin Otto,F,2022-07-31
278,Dr. Alfonso Salz,M,2021-04-23
279,Cilli Schomber,F,2024-06-08
280,Oxana Fechner,F,2017-04-26
281,Mariola Heser,M,2018-02-14
282,Ehrenfried Binner,M,2021-01-28
283,Prof. Birgitta Schaaf B.Sc.,M,2023-06-19
284,Aleksandar Austermühle,F,2017-11-03
285,Dr. Igor Scheuermann,M,2024-02-13
286,Sigfried Klingelhöfer-Mitschke,M,2021-10-12
287,Ing. Richard Schmidtke B.Eng.,M,2021-11-20
288,Dipl.-Ing. Rico Beer,F,2025-06-13
289,Ing. Andree Rohleder,M,2018-06-27
290,Isabelle Segebahn B.Sc.,F,2016-03-18
291,Prof. Aynur Noack B.Sc.,F,2016-04-16
292,Tino Kramer,F,2024-01-14
293,Gabriel Kranz-Aumann,F,2021-08-02
294,Rotraud Ruppert,M,2021-03-24
295,Justus Junken,F,2017-10-13
296,Annette Zahn,F,2017-05-03
297,Dipl.-Ing. Wera Bien,M,2018-01-13
298,Wilhelmine Stumpf B.Eng.,M,2016-05-19
299,Bernd-Dieter Wulff,F,2021-12-11
300,Liane Bolander,F,2020-08-02
301,Sarah Otto,F,2018-07-07
302,Dipl.-Ing. Calogero Textor B.Eng.,M,2023-05-16
303,Pietro Döring,M,2022-04-21
304,Prof. Erna Pölitz,M,2017-08-17
305,Olav Hein,M,2023-01-23
306,Katrin Speer MBA.,F,2023-02-25
307,Gundolf Jockel,F,2022-06-15
308,Univ.Prof. Salvatore Rosenow,F,2025-12-11
309,Mariele Scholl,M,2023-01-24
310,Romana Neureuther,F,2025-05-25
311,Imke Steckel,M,2016-12-25
312,Frau Angela Mosemann B.Sc.,M,2024-11-10
313,Pawel Seifert,M,2022-03-02
314,Erhardt Kobelt,M,2023-03-19
315,Rosi Hauffer-Keudel,M,2018-01-19
316,Luigi Möchlichen,M,2022-05-29
317,Agata Kambs,F,2017-12-17
318,Hans-Gerhard Jungfer,M,2023-09-13
319,Dipl.-Ing. Eleonore Dörschner,F,2021-06-30
320,Marica Hartung,M,2025-12-31
321,Hans-H. Dörschner,F,2021-08-02
322,Camilla Drub,F,2016-10-22
323,Lore Hertrampf,F,2017-04-16
324,Ludger Finke,F,2022-02-20
325,Gabriele Steckel-Salz,M,2023-06-02
326,Dr. Edda Kreusel MBA.,M,2019-07-11
327,Fredo Hauffer,M,2020-05-24
328,Tatjana Hettner B.Sc.,M,2017-01-18
329,Niels Davids,M,2026-01-28
330,Tilman Drub,F,2021-11-01
331,Tobias Lange,F,2024-06-03
332,Dr. Fred Hiller,M,2018-08-24
333,Gesine Wirth-Hettner,F,2018-07-08
334,Annemarie Stahr,F,2025-10-26
335,Marijan Sager,F,2021-04-21
336,Sina Junk,M,2021-01-13
337,Lilo Dowerg B.Eng.,F,2016-10-25
338,Dipl.-Ing. Klaus Roht B.Sc.,F,2019-01-06
339,Franz Josef Kobelt B.Eng.,M,2025-02-02
340,Alexander Hölzenbecher B.Eng.,F,2021-07-03
341,Leander Bohnbach,F,2016-08-29
342,Hartmuth Schaaf,M,2016-07-02
343,Ladislaus Reising,M,2019-06-05
344,Volker Grein Groth B.Sc.,M,2023-03-07
345,Dipl.-Ing. Roger Krause,M,2020-02-21
346,Univ.Prof. Andreas Matthäi B.Eng.,M,2019-01-18
347,Matthias Losekann,F,2016-03-12
348,Ansgar Kohl,F,2018-12-12
349,Kenneth Döhn,F,2020-08-21
350,Gunda Dippel-Bähr,F,2020-07-31
351,Lisette Fröhlich,F,2024-03-18
352,Jurij Kranz,M,2024-06-17
353,Ing. Leopoldine Heydrich B.Eng.,F,2019-06-13
354,Konstantin Graf B.Sc.,F,2023-01-26
355,Dipl.-Ing. Nada Trupp,F,2021-06-02
356,Ing. Valerij Misicher B.Sc.,F,2019-06-28
357,Prof. Klothilde Pieper,F,2024-02-05
358,Horst-Günter Schottin,F,2023-06-27
359,Melissa Schottin-Steckel,F,2025-05-22
360,Arthur Scheuermann,M,2018-07-20
361,Aleksandar Noack B.Sc.,M,2020-10-22
362,Dr. Elfie Trupp,F,2020-10-22
363,Trude Radisch,F,2017-11-23
364,Marko Weihmann,F,2021-08-10
365,Darko Walter,M,2023-05-02
366,Frau Susi Klotz,M,2020-07-25
367,Helmuth Paffrath,F,2024-09-04
368,Bianka Hesse,M,2024-10-05
369,Univ.Prof. Renata Bähr,M,2020-01-21
370,Roman Kaul-Schlosser,F,2016-10-11
371,Ing. Jennifer Davids,F,2020-08-08
372,Fanny Killer,F,2018-01-01
373,Laila Stadelmann B.Eng.,F,2021-08-13
374,Anne Hermighausen-Ruppersberger,F,2017-01-16
375,Zdravko Börner,F,2024-09-13
376,Alla Süßebier,F,2026-01-11
377,Gunar Jähn,F,2024-12-13
378,Franka Rudolph,F,2025-06-22
379,Bärbel Dörschner,M,2020-05-23
380,Prof. Tony Schmiedecke MBA.,F,2020-05-17
381,Roberto Säuberlich B.Sc.,F,2024-05-01
382,Hedda Weimer-Kühnert,M,2020-09-27
383,Sigmund Hertrampf-Seifert,F,2021-01-10
384,Yilmaz Hendriks,M,2019-02-21
385,Jana Schacht,M,2017-03-16
386,Hansjoachim Kensy,M,2022-02-07
387,Bernd Eigenwillig,M,2024-01-01
388,Robin Mühle,M,2018-12-10
389,Dipl.-Ing. Engin Junken B.Sc.,F,2020-07-17
390,Univ.Prof. Judith Biggen,M,2022-12-03
391,Claus Mies-Dussen van,M,2024-11-28
392,Dipl.-Ing. Christiana Haering,F,2023-10-22
393,Ing. Dimitri Lindner B.Sc.,M,2024-09-24
394,Christin Lindau B.Eng.,M,2017-01-05
395,Severin Haase,M,2019-07-11
396,Frau Cordula Käster,F,2017-06-09
397,Vanessa Ernst,F,2022-09-21
398,Athanasios Steckel,M,2024-06-01
399,Eitel Gutknecht-Seidel,F,2026-01-14
400,Marius Schottin-Bohlander,F,2023-11-29
401,Sofia Stolze,M,2016-09-06
402,Sandra Ullrich,F,2018-05-24
403,Albina Zahn,M,2020-02-27
404,Doreen Heintze,F,2020-09-11
405,Gustav Kusch,M,2017-04-19
406,Ing. Silvio Liebelt B.A.,F,2019-02-12
407,Gerti Gröttner B.Sc.,F,2025-09-03
408,Kerstin Hellwig,M,2023-12-07
409,Kunigunda Flantz,F,2018-07-18
410,Salih Tlustek-Schaaf,F,2017-04-10
411,Waldtraut Pölitz,F,2020-04-25
412,Hans-Henning Kraus,M,2020-10-31
413,Oscar Biggen B.A.,F,2018-02-08
414,Herr Heinz-Günther Werner,M,2026-02-10
415,Holm Adler,M,2025-12-26
416,Sylvio Carsten-Thies,M,2017-02-14
417,Gerlind Niemeier,F,2024-05-26
418,Tom Eimer,M,2018-10-17
419,Astrid Gieß,F,2025-08-23
420,Wolfgang Süßebier B.A.,M,2017-03-16
421,Horst-Günter Ruppert,F,2019-01-26
422,Else Thanel,F,2023-04-20
423,Susi Mühle,F,2023-04-04
424,Urte Salz-Wende,M,2025-02-13
425,H.-Dieter Gutknecht-Langern,M,2023-04-12
426,Bernd Neureuther,M,2020-09-05
427,Anastasios Heidrich-Jäkel,F,2017-05-24
428,Univ.Prof. Elwira Eberhardt MBA.,F,2025-12-01
429,Zofia Schönland,F,2019-07-29
430,Dr. Achim Biggen,F,2023-05-18
431,Ing. Dietmar Ehlert,F,2025-07-07
432,Antoinette Kusch MBA.,M,2018-06-23
433,Maxim Vollbrecht B.A.,M,2019-04-12
434,Traute Caspar,F,2023-07-11
435,Luzie Weimer B.A.,M,2024-04-11
436,Apostolos Junck,M,2025-05-05
437,Dipl.-Ing. Phillip Anders,F,2017-07-02
438,Otmar Blümel MBA.,M,2024-07-19
439,Univ.Prof. Elizabeth Eberth,M,2024-04-13
440,Otto Wirth,M,2016-08-22
441,Herr Aloys Buchholz B.Sc.,M,2017-02-06
442,Alexandros Stiffel,F,2022-04-17
443,Amalie Biggen-Kabus,M,2023-10-29
444,Gerold Sauer,F,2018-01-10
445,Tanja Lindau-Reinhardt,F,2019-07-28
446,Anny Bärer,M,2024-04-09
447,Denise Mude,M,2018-03-03
448,Dr. Hermann Josef Wirth,F,2023-01-08
449,Prof. Torsten Gnatz B.Sc.,M,2023-03-24
450,Dimitrios Jäntsch B.Eng.,M,2017-10-31
451,Ismail Wirth,M,2021-06-15
452,Ing. Irmgard Mühle,M,2026-02-20
453,Franziska Hamann,F,2024-02-09
454,Prof. Karlfried Ditschlerin,M,2021-11-19
455,Herr David Sölzer B.Eng.,M,2018-09-24
456,Ing. Henrik Heß B.Sc.,M,2019-08-04
457,Alwine Vogt-Pechel,M,2025-08-28
458,Kirsten Stiffel B.Sc.,M,2018-10-27
459,Darius Hamann-Seifert,F,2021-09-29
460,Magret Ruppersberger,F,2023-04-21
461,Insa Zirme,F,2024-02-24
462,Kathleen Jähn,M,2024-03-17
463,Philomena Scholl-Zorbach,F,2021-06-02
464,Felicia Jüttner,F,2024-11-19
465,Cilli Drubin,F,2016-12-20
466,Britt Scholl B.Sc.,M,2022-06-17
467,Mina Blümel-Naser,M,2018-09-25
468,Rico Sager B.Sc.,F,2016-10-22
469,Heinz-Werner Kusch-Zimmer,F,2018-11-12
470,Benita Wilms-Eigenwillig,F,2018-12-25
471,Friedlinde Hettner,M,2018-04-13
472,Tino Käster-Ullrich,M,2019-11-01
473,Sergio Hänel,F,2021-11-16
474,Samir Lehmann,F,2020-07-31
475,Malgorzata Stahr B.A.,F,2024-02-08
476,Krystyna Bauer B.A.,M,2016-10-08
477,Ferenc Kuhl MBA.,F,2024-09-10
478,Ing. Wiltrud Hahn B.Sc.,F,2017-10-10
479,Rainer Sorgatz,F,2024-05-01
480,Karl Franke B.Sc.,F,2023-12-31
481,Thomas Ullrich B.Eng.,M,2021-04-07
482,Prof. James Jähn B.Eng.,M,2016-04-19
483,Amanda Krein,M,2019-07-25
484,Antonietta Stolze,F,2021-04-05
485,Dr. Irmela Paffrath,M,2017-01-12
486,Dr. Annekatrin Möchlichen,M,2019-07-03
487,Ursula Fritsch-Steuer,F,2025-07-06
488,Ing. Erdogan Pärtzelt,M,2020-10-14
489,Elzbieta Klotz,M,2024-06-12
490,Annett Tröst,F,2020-04-05
491,Lilian Schleich,M,2024-08-16
492,Martin Beer B.Sc.,F,2020-09-09
493,Nermin Hahn-Henk,F,2019-02-16
494,Gabriela Hölzenbecher,M,2021-08-10
495,Balthasar Eberth,F,2019-07-03
496,Arndt Schmiedt-Striebitz,M,2022-09-20
497,Kristina Ditschlerin,M,2024-02-29
498,Zeljko Bloch-Klemt,F,2018-03-18
499,Herr Karl-Ernst Ruppersberger B.A.,F,2024-12-04
500,Mato Gorlitz-Flantz,M,2016-05-27
501,Univ.Prof. Witold Jessel,M,2023-04-16
502,Dipl.-Ing. Helma Zänker MBA.,F,2024-12-07
503,Stefania Radisch-Gutknecht,F,2016-08-15
504,Prof. Dariusz Kostolzin,M,2023-02-18
505,Evangelia Bonbach B.Sc.,M,2023-03-29
506,Dipl.-Ing. Dorina Junken B.Eng.,M,2022-10-30
507,Dr. Gretl Stadelmann,F,2021-12-20
508,Lili Bähr,M,2024-06-16
509,Baptist Harloff-Knappe,F,2023-06-22
510,Andres Drubin B.A.,M,2019-06-28
511,Marjan Gumprich,F,2019-07-19
512,Hatice Lorch,F,2020-06-25
513,Annaliese Loos MBA.,F,2021-12-24
514,Ing. Evelin Barkholz,F,2022-07-06
515,Frank-Peter Pieper,M,2018-04-09
516,Arndt Scholl,M,2017-12-02
517,Walentina Wende,F,2023-06-09
518,Herr Tilman Kensy,F,2023-02-22
519,Dr. Bernard Kruschwitz B.Eng.,M,2019-12-01
520,Frida Ackermann,M,2024-12-15
521,Reni Koch,F,2017-09-15
522,Ottmar Krein B.Sc.,M,2016-04-21
523,Karl-Josef Paffrath-Holzapfel,M,2020-10-16
524,Wolf-Dietrich Sager B.A.,F,2023-12-25
525,Dipl.-Ing. Jolanda Sager,F,2024-02-06
526,Alexandros Kuhl,M,2021-06-13
527,Veronica Wilmsen,F,2022-06-28
528,Prof. H.-Dieter Hölzenbecher,M,2025-01-21
529,Alexei Johann B.A.,F,2025-09-18
530,Frau Virginia Hermighausen,F,2022-10-08
531,Heinz-Gerd Zirme,F,2024-11-05
532,Univ.Prof. Helge Bähr MBA.,M,2025-06-29
533,Ing. Melita Etzold B.Sc.,F,2022-07-18
534,Anka Gnatz,F,2016-08-13
535,Romy Zimmer,F,2022-08-31
536,Larissa Schmiedecke B.A.,M,2016-03-19
537,Isolde Wagner B.Sc.,M,2022-03-09
538,Josefa Koch II,M,2016-08-21
539,Patrizia Schenk,M,2022-01-08
540,Songül Hettner,F,2016-05-31
541,Kriemhild Wernecke,F,2017-11-15
542,Magdalene Beyer,M,2020-08-20
543,Jessika Döhn,F,2019-04-01
544,Janine Rust B.Eng.,M,2018-10-08
545,Gotthard Thanel,F,2024-08-20
546,Dr. Knud Drewes,M,2025-07-30
547,Herbert Schüler B.Sc.,F,2025-07-07
548,Kreszentia Pruschke-Holzapfel,F,2022-06-14
549,Maya Müller,M,2022-11-28
550,Dr. Adolf Zahn B.Eng.,F,2024-08-19
551,Gerhard Dobes,F,2020-11-15
552,Prof. Gerd Etzler,F,2025-03-15
553,Jasmin Meyer-Holsten,M,2020-11-02
554,Eileen Wulff,F,2017-03-11
555,Univ.Prof. Gönül Wiek,F,2020-08-11
556,Sabrina Lindner,F,2025-10-17
557,Augusta Kostolzin B.Eng.,F,2018-03-24
558,Mathias Trapp,M,2018-07-13
559,Rosa Pohl-Koch,F,2017-04-20
560,Susann Etzler,F,2022-01-16
561,Frau Hulda Preiß MBA.,F,2019-04-10
562,Ing. Hansjürgen Schweitzer,M,2019-03-05
563,Dierk Junk B.Sc.,M,2018-08-24
564,Alessandro Gehringer,F,2016-04-07
565,Necati Drubin B.Eng.,F,2022-09-30
566,Franz Josef Buchholz,M,2021-11-18
567,Pawel Ehlert,M,2016-09-12
568,Marko Metz,F,2016-08-14
569,Ella Thies B.Sc.,F,2024-04-15
570,Prof. Ilonka Dietz B.Eng.,M,2026-02-12
571,Reinhard Otto B.Sc.,F,2025-01-10
572,Diedrich Hertrampf,F,2018-01-10
573,Francis Zahn-Müller,M,2019-05-22
574,Philip Ortmann,M,2023-08-30
575,Dipl.-Ing. Jochem Seifert,M,2016-08-06
576,Elzbieta Wagenknecht B.A.,M,2024-01-12
577,Catrin Jüttner,F,2020-04-06
578,Mariola Misicher,F,2018-11-29
579,Dipl.-Ing. Ludwig Dörr,F,2016-10-09
580,Heiderose Lachmann,F,2022-06-17
581,Veli Ackermann-Nette,F,2020-07-12
582,Prof. Hermann Josef Fischer,F,2023-12-01
583,Univ.Prof. Bogdan Tschentscher MBA.,M,2017-06-25
